1805,1.6,14,26,23,18,18,18,2,4,4,2,4,4,0
1754,1.5818181818181818,13,26,22,18,19,18,2,4,4,2,4,4,0
1791,1.6181818181818182,14,26,23,18,17,18,2,4,4,2,4,4,0
1718,1.5818181818181818,13,27,22,18,17,17,2,4,4,2,4,4,0
1728,1.6,14,26,22,17,17,16,2,4,4,3,4,4,0
1689,1.5818181818181818,12,25,22,17,17,17,2,4,4,3,4,4,0
1724,1.6111111111111112,13,24,23,17,17,18,2,4,4,2,4,4,0
1708,1.5636363636363637,12,25,23,18,18,18,2,4,4,2,4,4,0
1777,1.6,13,26,22,18,18,17,2,4,4,2,4,4,0
1755,1.5818181818181818,14,26,23,18,18,17,2,4,4,3,4,4,0
1798,1.6,14,27,22,19,17,18,2,4,4,2,4,4,0
1791,1.6,13,26,23,18,17,18,2,4,4,2,4,4,0
1756,1.5818181818181818,12,26,22,18,18,17,2,4,4,2,4,4,0
1818,1.6363636363636365,14,26,24,17,18,18,2,4,4,3,4,4,0
1828,1.6,14,26,23,18,19,18,2,4,4,2,4,4,0
1773,1.5818181818181818,14,26,22,18,18,16,2,4,4,2,4,4,0
1822,1.6181818181818182,14,25,24,18,18,18,2,4,4,2,4,4,0
1753,1.5535714285714286,13,24,25,18,18,18,2,4,4,2,4,4,0
1769,1.6181818181818182,15,25,23,18,18,17,2,4,4,2,4,4,0
1740,1.5714285714285714,14,24,27,17,18,18,2,4,4,3,4,4,0
1737,1.5535714285714286,13,24,25,18,16,18,2,4,4,2,4,4,0
1789,1.5535714285714286,14,25,25,18,18,18,2,4,4,2,4,4,0
1729,1.5818181818181818,14,25,21,17,17,17,2,4,4,2,4,4,0
1802,1.5714285714285714,14,25,26,19,17,18,2,4,4,2,4,4,0
1801,1.5892857142857142,13,25,26,18,18,17,3,4,4,2,4,4,0
1791,1.5714285714285714,14,22,27,18,18,18,2,4,4,3,4,4,0
1798,1.5714285714285714,14,24,25,18,18,17,2,4,4,2,4,4,0
1850,1.6071428571428572,14,23,27,18,18,18,2,4,4,2,4,4,0
1840,1.543859649122807,14,26,24,19,18,18,2,4,4,2,4,4,0
1796,1.5714285714285714,14,25,25,18,18,18,2,4,4,2,4,4,0
1817,1.5892857142857142,13,24,25,18,18,18,2,4,4,2,4,4,0
1766,1.543859649122807,14,25,24,17,17,18,2,4,4,3,4,4,0
1780,1.5892857142857142,15,25,25,17,17,17,2,4,4,2,4,4,0
1734,1.5535714285714286,12,23,24,16,18,16,2,4,4,2,4,4,0
1788,1.5263157894736843,14,24,24,18,17,18,2,4,4,2,4,4,0
1784,1.5263157894736843,14,24,24,18,18,18,2,4,4,2,4,4,0
1771,1.5535714285714286,14,23,24,17,18,16,2,4,4,2,4,4,0
1811,1.543859649122807,14,25,24,18,17,18,2,4,4,2,4,4,0
1807,1.543859649122807,14,24,25,17,18,18,2,4,4,3,4,4,0
1812,1.5892857142857142,14,25,26,17,18,18,2,4,4,2,4,4,0
1887,1.5689655172413792,15,26,25,18,18,18,2,4,4,4,4,4,0
1787,1.5714285714285714,14,24,24,17,18,18,2,4,4,2,4,4,0
1805,1.6071428571428572,14,23,26,17,18,16,2,4,4,2,4,4,0
1751,1.5818181818181818,14,23,23,16,18,16,2,4,4,3,4,4,0
1725,1.6296296296296295,13,22,25,15,17,17,2,4,4,3,3,3,0
1781,1.5535714285714286,13,24,25,18,18,17,2,4,4,2,4,4,0
